lng,lat,name,strasse,hausnr,plz,ort,anlage,kategorie,zugaenglichkeit,beschreibung,website
8.72198597667102,47.3470297310555,Kinderkrippe Heusser Staub,Florastrasse,26,8610,Uster,,Kinderbetreuung: FEB-Kita,Räumlichkeiten,,
8.72184905809261,47.3485544164781,Laden Jugendarbeit,Freiestrasse,19,8610,Uster,,"Anlaufstelle: Kindheit, Jugend und Familie",Räumlichkeiten,,https://jugendarbeit-uster.ch
8.722008760991,47.3480603806958,Schulhaus Freiestrasse,Freiestrasse,20,8610,Uster,,Schule: Sekundarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,
8.71600920371315,47.35034060583,Spielgruppe Lukiluks,Gerichtsstrasse,8,8610,Uster,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.lukiluks.ch
8.71972353236267,47.3488040744353,Kindergarten Gotthardweg,Gotthardweg,5,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=347
8.70771931839058,47.3547631279434,Kindergarten Ackerstrasse,Gschwaderstrasse,3,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=345
8.71742562850054,47.3604923571627,Schulhaus Gschwader,Gschwaderstrasse,70,8610,Uster,Schulanlage Gschwader,Schule: Primarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/de/bildung/primarschule/primarschulhaus/?action=showschule&schule_id=502
8.71742562850054,47.3604923571627,Kindergarten Gschwader,Gschwaderstrasse,70,8610,Uster,Schulanlage Gschwader,Schule: Kindergarten,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=348
8.72159978264993,47.3547421930816,Schulhäuser Hasenbühl,Hasenbühlstrasse,10,8610,Uster,Schulanlage Hasenbühl,Schule: Primarschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.hasenbuehl.ch/
8.71993481093493,47.3425134060152,Kindergarten Heusser-Staub,Heusser-Staub-Strasse,1,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=349
8.71113790018094,47.3484259527362,Hort im Lot,Im Lot,11,8610,Uster,,Kinderbetreuung: FEB-Kita,Räumlichkeiten,,
8.71112678297516,47.3484160003072,Kindergarten Im Lot,Im Lot,11,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=350
8.72327920755212,47.3501045056322,Chinderhuus im Werk,Im Werk,3,8610,Uster,,Kinderbetreuung: FEB-Kita,Räumlichkeiten,,
8.72363495399197,47.350062073666,Spielgruppe Glüehwürmli,Im Werk,8,8610,Uster,,Kinderbetreuung: Spielgruppe,Räumlichkeiten,,www.gluehwuermli.ch
8.72370644463835,47.3501973080649,Kindergarten Im Werk,Im Werk,8,8610,Uster,,Schule: Kindergarten,nicht-öffentlicher Raum,,http://www.uster.ch/de/bildung/primarschule/kindergarten/?action=showschule&schule_id=351
8.71665375169093,47.3521038126189,Kinderkrippe Muulwurf,Industriestrasse,23,8610,Uster,,Kinderbetreuung: FEB-Kita,Räumlichkeiten,,
8.70834827888449,47.3489079817604,Höhere Berufsbildung Uster,Krämerackerstrasse,15,8610,Uster,Bildungszentrum Uster,Schule: Erwachsenenbildung,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,
8.70834827888449,47.3489079817604,Kantonsschule Uster,Krämerackerstrasse,15,8610,Uster,Bildungszentrum Uster,Schule: Kantonsschule,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,
